layer	cosine_rho	euclidean_rho	cosine_p	euclidean_p	n_pairs
encoder.layer.0	0.17782290666369147	0.11025590773399145	0.0	0.0	1359000
encoder.layer.5	0.10777339094866945	0.059690761983698215	0.0	0.0	1359000
encoder.layer.9	-0.00904436836427745	-0.0193450441057076	5.427100712325241e-26	1.2324101199605885e-112	1359000
encoder.layer.10	0.049372983785372485	-0.009791084862448058	0.0	3.546123522490766e-30	1359000
encoder.layer.11	0.07653337657850909	0.04556142517211698	0.0	0.0	1359000
pooler	0.06345567898492316	0.04525515206293024	0.0	0.0	1359000
