layer	cosine_rho	euclidean_rho	cosine_p	euclidean_p	n_pairs
blocks.16.mlp.l3	0.03677010178984748	0.017905373872353924	0.0	9.027342711787733e-97	1359000
blocks.26.mlp.l3	0.15860447082984508	0.1869550725914602	0.0	0.0	1359000
