model	layer	auc_med	auc_lo	auc_hi	auprc_med	auprc_lo	auprc_hi
dnabert_s	0	0.546779595405305	0.48077504872923493	0.6132384861334291	0.5649949145856228	0.48187427688125994	0.6482884532291521
evo2	19	0.5875940161104718	0.5231081572765035	0.65269952674368	0.6296312468914721	0.5420242150462459	0.7094442910678139
hyenadna	8	0.6153883299897314	0.5536382459984288	0.6828202076236416	0.659300303067796	0.5744564119669888	0.7377185650853312
nt	15	0.5270324996491083	0.4599968807245092	0.5935938691838292	0.5523392659239696	0.47380611032041653	0.6394779751310464
baseline_gc_dinuc	-1	0.5007592241207077	0.43494434377441393	0.5662280711484194	0.5581069059133736	0.4753613453857794	0.6380718643146097
