a	b	dauc_med	dauc_lo	dauc_hi	p_le0
hyenadna	nt	0.08943348509244348	-0.0016258544323060338	0.1763456395220912	0.027
hyenadna	dnabert_s	0.06876818308066829	-0.023747048521799954	0.16024650162482482	0.0676
hyenadna	baseline	0.11544693254876315	0.039139704934001276	0.19260670575657005	0.0018
evo2	nt	0.060831707423504466	-0.03218263964108294	0.15032068404770108	0.0928
evo2	dnabert_s	0.04239204648787104	-0.0504454234842719	0.13031124165205643	0.1752
evo2	baseline	0.08682593733284971	0.0017568966596995428	0.17184639595040213	0.0226
hyenadna	evo2	0.027676249308256518	-0.05939853484028358	0.11108142476846035	0.2458
