label	baseline	k	f1	auc	auprc
4-mer TF-IDF	kmer_tfidf	4.0	0.5592105263157895	0.5426744907208626	0.5380773351498422
5-mer TF-IDF	kmer_tfidf	5.0	0.5290322580645161	0.49491913553742667	0.512049676542377
6-mer TF-IDF	kmer_tfidf	6.0	0.5517241379310345	0.5089928915605172	0.5209152523504335
GC+dinuc	gc_dinuc		0.5197368421052632	0.501884452077668	0.5540185203334018
